Time,BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:01:00,1.057153E+04,1.454326E+04,3.574887E-01,1.025121E+00,1.015301E+04,3.108906E+04,3.433359E-01,2.191401E+00,1.146953E+05,3.381455E+05,3.878558E+00,2.383514E+01,6.263147E+04,3.459802E+04,2.117958E+00,2.438739E+00,1.573416E+04,3.213593E+03,5.320409E-01,2.265299E-01,1.048120E+04,2.180251E+03,3.544148E-01,1.536888E-01,1.549463E+04,2.945968E+03,5.239415E-01,2.076644E-01,1.046286E+04,2.684011E+03,3.537947E-01,1.892000E-01,1.774021E+05,3.356768E+04,5.998739E+00,2.366228E+00,1.164074E+05,2.266656E+04,3.936235E+00,1.597797E+00,1.760687E+05,3.126134E+04,5.953653E+00,2.203648E+00,1.182551E+05,2.887952E+04,3.998715E+00,2.035763E+00,2.468235E+04,3.365219E+03,8.346170E-01,2.372183E-01,1.606031E+04,2.272473E+03,5.430677E-01,1.601896E-01,2.459598E+04,3.160878E+03,8.316964E-01,2.228138E-01,1.631394E+04,2.863733E+03,5.516438E-01,2.018689E-01
00:02:00,1.056687E+04,1.453245E+04,3.573312E-01,1.024359E+00,1.013469E+04,3.106096E+04,3.427165E-01,2.189420E+00,1.144725E+05,3.380266E+05,3.871025E+00,2.382676E+01,6.264082E+04,3.459054E+04,2.118274E+00,2.438211E+00,1.573163E+04,3.207295E+03,5.319554E-01,2.260859E-01,1.047957E+04,2.175972E+03,3.543597E-01,1.533871E-01,1.549207E+04,2.939997E+03,5.238551E-01,2.072435E-01,1.046123E+04,2.678888E+03,3.537396E-01,1.888389E-01,1.773733E+05,3.351761E+04,5.997767E+00,2.362698E+00,1.163888E+05,2.263281E+04,3.935608E+00,1.595418E+00,1.760397E+05,3.121456E+04,5.952673E+00,2.200350E+00,1.182366E+05,2.882901E+04,3.998089E+00,2.032202E+00,2.468347E+04,3.360466E+03,8.346550E-01,2.368832E-01,1.606104E+04,2.269264E+03,5.430923E-01,1.599635E-01,2.459711E+04,3.156494E+03,8.317345E-01,2.225048E-01,1.631466E+04,2.858823E+03,5.516683E-01,2.015228E-01
00:03:00,1.056222E+04,1.452145E+04,3.571739E-01,1.023584E+00,1.011638E+04,3.103236E+04,3.420974E-01,2.187404E+00,1.142499E+05,3.379020E+05,3.863496E+00,2.381797E+01,6.265013E+04,3.458245E+04,2.118589E+00,2.437641E+00,1.572910E+04,3.200966E+03,5.318699E-01,2.256398E-01,1.047794E+04,2.171673E+03,3.543047E-01,1.530840E-01,1.548952E+04,2.933996E+03,5.237688E-01,2.068204E-01,1.045960E+04,2.673743E+03,3.536845E-01,1.884762E-01,1.773446E+05,3.346719E+04,5.996795E+00,2.359144E+00,1.163703E+05,2.259883E+04,3.934981E+00,1.593023E+00,1.760108E+05,3.116744E+04,5.951693E+00,2.197029E+00,1.182181E+05,2.877828E+04,3.997463E+00,2.028626E+00,2.468459E+04,3.355677E+03,8.346928E-01,2.365456E-01,1.606176E+04,2.266032E+03,5.431167E-01,1.597356E-01,2.459823E+04,3.152076E+03,8.317725E-01,2.221933E-01,1.631538E+04,2.853892E+03,5.516927E-01,2.011752E-01
00:04:00,1.055756E+04,1.451027E+04,3.570166E-01,1.022796E+00,1.009808E+04,3.100333E+04,3.414786E-01,2.185357E+00,1.140274E+05,3.377723E+05,3.855971E+00,2.380883E+01,6.265942E+04,3.457384E+04,2.118903E+00,2.437034E+00,1.572657E+04,3.194617E+03,5.317844E-01,2.251922E-01,1.047632E+04,2.167360E+03,3.542496E-01,1.527800E-01,1.548697E+04,2.927976E+03,5.236825E-01,2.063961E-01,1.045798E+04,2.668584E+03,3.536295E-01,1.881125E-01,1.773159E+05,3.341653E+04,5.995824E+00,2.355572E+00,1.163518E+05,2.256468E+04,3.934355E+00,1.590615E+00,1.759818E+05,3.112009E+04,5.950713E+00,2.193691E+00,1.181996E+05,2.872741E+04,3.996837E+00,2.025040E+00,2.468571E+04,3.350863E+03,8.347305E-01,2.362063E-01,1.606248E+04,2.262782E+03,5.431411E-01,1.595065E-01,2.459935E+04,3.147633E+03,8.318103E-01,2.218801E-01,1.631610E+04,2.848947E+03,5.517170E-01,2.008266E-01
00:05:00,1.055292E+04,1.449892E+04,3.568594E-01,1.021996E+00,1.007979E+04,3.097388E+04,3.408602E-01,2.183281E+00,1.138050E+05,3.376378E+05,3.848450E+00,2.379935E+01,6.266868E+04,3.456472E+04,2.119216E+00,2.436391E+00,1.572405E+04,3.188251E+03,5.316990E-01,2.247434E-01,1.047469E+04,2.163036E+03,3.541946E-01,1.524752E-01,1.548442E+04,2.921942E+03,5.235962E-01,2.059707E-01,1.045635E+04,2.663411E+03,3.535745E-01,1.877478E-01,1.772872E+05,3.336567E+04,5.994854E+00,2.351987E+00,1.163332E+05,2.253039E+04,3.933729E+00,1.588198E+00,1.759528E+05,3.107256E+04,5.949734E+00,2.190340E+00,1.181811E+05,2.867643E+04,3.996211E+00,2.021446E+00,2.468682E+04,3.346030E+03,8.347681E-01,2.358656E-01,1.606320E+04,2.259518E+03,5.431654E-01,1.592764E-01,2.460046E+04,3.143170E+03,8.318480E-01,2.215656E-01,1.631682E+04,2.843992E+03,5.517413E-01,2.004773E-01
00:06:00,1.054827E+04,1.448739E+04,3.567023E-01,1.021183E+00,1.006152E+04,3.094404E+04,3.402421E-01,2.181178E+00,1.135827E+05,3.374986E+05,3.840933E+00,2.378954E+01,6.267790E+04,3.455512E+04,2.119528E+00,2.435714E+00,1.572152E+04,3.181870E+03,5.316137E-01,2.242936E-01,1.047306E+04,2.158703E+03,3.541396E-01,1.521697E-01,1.548187E+04,2.915895E+03,5.235100E-01,2.055444E-01,1.045472E+04,2.658228E+03,3.535195E-01,1.873824E-01,1.772585E+05,3.331464E+04,5.993884E+00,2.348389E+00,1.163147E+05,2.249598E+04,3.933103E+00,1.585772E+00,1.759239E+05,3.102486E+04,5.948756E+00,2.186978E+00,1.181626E+05,2.862536E+04,3.995586E+00,2.017846E+00,2.468792E+04,3.341178E+03,8.348055E-01,2.355235E-01,1.606392E+04,2.256241E+03,5.431896E-01,1.590454E-01,2.460157E+04,3.138690E+03,8.318856E-01,2.212497E-01,1.631753E+04,2.839027E+03,5.517654E-01,2.001273E-01
00:07:00,1.054834E+04,1.451059E+04,3.567046E-01,1.022819E+00,1.006209E+04,3.097905E+04,3.402614E-01,2.183645E+00,1.135895E+05,3.380258E+05,3.841164E+00,2.382669E+01,6.268710E+04,3.459165E+04,2.119839E+00,2.438289E+00,1.572160E+04,3.183345E+03,5.316164E-01,2.243976E-01,1.047312E+04,2.159441E+03,3.541414E-01,1.522217E-01,1.548195E+04,2.917686E+03,5.235128E-01,2.056706E-01,1.045478E+04,2.658183E+03,3.535212E-01,1.873792E-01,1.772594E+05,3.334329E+04,5.993915E+00,2.350409E+00,1.163153E+05,2.251304E+04,3.933123E+00,1.586975E+00,1.759248E+05,3.105680E+04,5.948787E+00,2.189229E+00,1.181632E+05,2.862633E+04,3.995606E+00,2.017914E+00,2.468903E+04,3.341993E+03,8.348428E-01,2.355810E-01,1.606463E+04,2.256618E+03,5.432137E-01,1.590719E-01,2.460268E+04,3.139874E+03,8.319230E-01,2.213331E-01,1.631825E+04,2.837728E+03,5.517895E-01,2.000357E-01
00:08:00,1.054841E+04,1.453392E+04,3.567070E-01,1.024463E+00,1.006266E+04,3.101458E+04,3.402808E-01,2.186150E+00,1.135963E+05,3.385578E+05,3.841395E+00,2.386420E+01,6.269628E+04,3.462866E+04,2.120149E+00,2.440897E+00,1.572168E+04,3.184839E+03,5.316191E-01,2.245029E-01,1.047317E+04,2.160191E+03,3.541431E-01,1.522746E-01,1.548203E+04,2.919494E+03,5.235155E-01,2.057981E-01,1.045483E+04,2.658155E+03,3.535230E-01,1.873772E-01,1.772603E+05,3.337212E+04,5.993946E+00,2.352441E+00,1.163159E+05,2.253020E+04,3.933143E+00,1.588184E+00,1.759257E+05,3.108889E+04,5.948818E+00,2.191491E+00,1.181638E+05,2.862749E+04,3.995626E+00,2.017996E+00,2.469013E+04,3.342825E+03,8.348800E-01,2.356396E-01,1.606534E+04,2.257003E+03,5.432377E-01,1.590991E-01,2.460378E+04,3.141073E+03,8.319603E-01,2.214177E-01,1.631896E+04,2.836448E+03,5.518135E-01,1.999454E-01
00:09:00,1.054848E+04,1.455712E+04,3.567094E-01,1.026098E+00,1.006323E+04,3.105000E+04,3.403001E-01,2.188646E+00,1.136031E+05,3.390882E+05,3.841625E+00,2.390158E+01,6.270542E+04,3.466547E+04,2.120458E+00,2.443492E+00,1.572176E+04,3.186304E+03,5.316218E-01,2.246061E-01,1.047322E+04,2.160921E+03,3.541449E-01,1.523261E-01,1.548211E+04,2.921275E+03,5.235183E-01,2.059236E-01,1.045488E+04,2.658106E+03,3.535247E-01,1.873737E-01,1.772612E+05,3.340060E+04,5.993977E+00,2.354449E+00,1.163165E+05,2.254712E+04,3.933163E+00,1.589377E+00,1.759267E+05,3.112065E+04,5.948849E+00,2.193730E+00,1.181644E+05,2.862844E+04,3.995646E+00,2.018063E+00,2.469122E+04,3.343622E+03,8.349170E-01,2.356958E-01,1.606605E+04,2.257365E+03,5.432617E-01,1.591246E-01,2.460488E+04,3.142237E+03,8.319975E-01,2.214997E-01,1.631966E+04,2.835148E+03,5.518375E-01,1.998537E-01
00:10:00,1.054855E+04,1.458018E+04,3.567118E-01,1.027724E+00,1.006380E+04,3.108526E+04,3.403194E-01,2.191131E+00,1.136100E+05,3.396162E+05,3.841856E+00,2.393880E+01,6.271453E+04,3.470203E+04,2.120766E+00,2.446069E+00,1.572184E+04,3.187733E+03,5.316246E-01,2.247069E-01,1.047327E+04,2.161628E+03,3.541466E-01,1.523759E-01,1.548219E+04,2.923020E+03,5.235210E-01,2.060466E-01,1.045493E+04,2.658031E+03,3.535265E-01,1.873685E-01,1.772622E+05,3.342867E+04,5.994008E+00,2.356428E+00,1.163171E+05,2.256375E+04,3.933183E+00,1.590549E+00,1.759276E+05,3.115200E+04,5.948880E+00,2.195940E+00,1.181649E+05,2.862914E+04,3.995666E+00,2.018112E+00,2.469232E+04,3.344376E+03,8.349540E-01,2.357489E-01,1.606676E+04,2.257697E+03,5.432856E-01,1.591480E-01,2.460598E+04,3.143358E+03,8.320346E-01,2.215787E-01,1.632037E+04,2.833822E+03,5.518613E-01,1.997602E-01
00:11:00,1.054862E+04,1.460310E+04,3.567141E-01,1.029339E+00,1.006437E+04,3.112034E+04,3.403387E-01,2.193604E+00,1.136168E+05,3.401418E+05,3.842086E+00,2.397584E+01,6.272362E+04,3.473832E+04,2.121074E+00,2.448627E+00,1.572192E+04,3.189124E+03,5.316273E-01,2.248049E-01,1.047332E+04,2.162308E+03,3.541484E-01,1.524238E-01,1.548228E+04,2.924728E+03,5.235237E-01,2.061670E-01,1.045498E+04,2.657931E+03,3.535282E-01,1.873614E-01,1.772631E+05,3.345629E+04,5.994039E+00,2.358375E+00,1.163177E+05,2.258009E+04,3.933203E+00,1.591701E+00,1.759285E+05,3.118292E+04,5.948911E+00,2.198120E+00,1.181655E+05,2.862957E+04,3.995686E+00,2.018142E+00,2.469340E+04,3.345083E+03,8.349907E-01,2.357988E-01,1.606746E+04,2.257998E+03,5.433094E-01,1.591692E-01,2.460707E+04,3.144434E+03,8.320715E-01,2.216546E-01,1.632107E+04,2.832469E+03,5.518850E-01,1.996649E-01
00:12:00,1.054869E+04,1.462588E+04,3.567165E-01,1.030945E+00,1.006494E+04,3.115523E+04,3.403580E-01,2.196063E+00,1.136236E+05,3.406649E+05,3.842316E+00,2.401271E+01,6.273267E+04,3.477434E+04,2.121380E+00,2.451166E+00,1.572201E+04,3.190472E+03,5.316300E-01,2.248999E-01,1.047337E+04,2.162961E+03,3.541501E-01,1.524698E-01,1.548236E+04,2.926394E+03,5.235265E-01,2.062845E-01,1.045503E+04,2.657800E+03,3.535300E-01,1.873522E-01,1.772640E+05,3.348343E+04,5.994070E+00,2.360288E+00,1.163183E+05,2.259610E+04,3.933223E+00,1.592829E+00,1.759294E+05,3.121337E+04,5.948942E+00,2.200266E+00,1.181661E+05,2.862969E+04,3.995706E+00,2.018150E+00,2.469449E+04,3.345742E+03,8.350274E-01,2.358452E-01,1.606816E+04,2.258266E+03,5.433331E-01,1.591881E-01,2.460816E+04,3.145461E+03,8.321083E-01,2.217270E-01,1.632177E+04,2.831085E+03,5.519087E-01,1.995673E-01
00:13:00,1.054876E+04,1.464851E+04,3.567189E-01,1.032540E+00,1.006551E+04,3.118992E+04,3.403773E-01,2.198508E+00,1.136304E+05,3.411854E+05,3.842546E+00,2.404940E+01,6.274170E+04,3.481008E+04,2.121685E+00,2.453685E+00,1.572209E+04,3.191781E+03,5.316327E-01,2.249922E-01,1.047343E+04,2.163586E+03,3.541519E-01,1.525139E-01,1.548244E+04,2.928021E+03,5.235292E-01,2.063992E-01,1.045509E+04,2.657642E+03,3.535317E-01,1.873410E-01,1.772649E+05,3.351011E+04,5.994101E+00,2.362168E+00,1.163189E+05,2.261179E+04,3.933243E+00,1.593936E+00,1.759303E+05,3.124336E+04,5.948973E+00,2.202380E+00,1.181667E+05,2.862952E+04,3.995726E+00,2.018138E+00,2.469557E+04,3.346353E+03,8.350639E-01,2.358883E-01,1.606886E+04,2.258502E+03,5.433567E-01,1.592047E-01,2.460924E+04,3.146441E+03,8.321449E-01,2.217961E-01,1.632247E+04,2.829673E+03,5.519323E-01,1.994678E-01
00:14:00,1.054883E+04,1.467100E+04,3.567213E-01,1.034125E+00,1.006608E+04,3.122443E+04,3.403965E-01,2.200941E+00,1.136372E+05,3.417034E+05,3.842776E+00,2.408591E+01,6.275069E+04,3.484555E+04,2.121989E+00,2.456185E+00,1.572217E+04,3.193053E+03,5.316354E-01,2.250818E-01,1.047348E+04,2.164188E+03,3.541536E-01,1.525563E-01,1.548252E+04,2.929613E+03,5.235319E-01,2.065114E-01,1.045514E+04,2.657459E+03,3.535335E-01,1.873281E-01,1.772658E+05,3.353635E+04,5.994132E+00,2.364018E+00,1.163195E+05,2.262720E+04,3.933263E+00,1.595022E+00,1.759312E+05,3.127293E+04,5.949004E+00,2.204465E+00,1.181673E+05,2.862909E+04,3.995746E+00,2.018108E+00,2.469664E+04,3.346919E+03,8.351003E-01,2.359282E-01,1.606955E+04,2.258708E+03,5.433802E-01,1.592192E-01,2.461032E+04,3.147377E+03,8.321815E-01,2.218620E-01,1.632316E+04,2.828235E+03,5.519558E-01,1.993664E-01
00:15:00,1.054890E+04,1.469336E+04,3.567237E-01,1.035701E+00,1.006665E+04,3.125877E+04,3.404158E-01,2.203361E+00,1.136440E+05,3.422189E+05,3.843006E+00,2.412225E+01,6.275966E+04,3.488075E+04,2.122292E+00,2.458666E+00,1.572225E+04,3.194288E+03,5.316382E-01,2.251689E-01,1.047353E+04,2.164764E+03,3.541554E-01,1.525970E-01,1.548260E+04,2.931168E+03,5.235346E-01,2.066210E-01,1.045519E+04,2.657251E+03,3.535352E-01,1.873134E-01,1.772667E+05,3.356217E+04,5.994163E+00,2.365838E+00,1.163201E+05,2.264231E+04,3.933283E+00,1.596087E+00,1.759322E+05,3.130208E+04,5.949035E+00,2.206520E+00,1.181679E+05,2.862840E+04,3.995765E+00,2.018059E+00,2.469772E+04,3.347441E+03,8.351366E-01,2.359650E-01,1.607025E+04,2.258884E+03,5.434037E-01,1.592316E-01,2.461140E+04,3.148269E+03,8.322179E-01,2.219249E-01,1.632386E+04,2.826771E+03,5.519792E-01,1.992631E-01
00:16:00,1.054897E+04,1.471557E+04,3.567261E-01,1.037267E+00,1.006722E+04,3.129292E+04,3.404350E-01,2.205768E+00,1.136508E+05,3.427320E+05,3.843236E+00,2.415841E+01,6.276860E+04,3.491569E+04,2.122595E+00,2.461128E+00,1.572233E+04,3.195488E+03,5.316409E-01,2.252535E-01,1.047358E+04,2.165317E+03,3.541571E-01,1.526359E-01,1.548268E+04,2.932688E+03,5.235374E-01,2.067282E-01,1.045524E+04,2.657018E+03,3.535370E-01,1.872970E-01,1.772677E+05,3.358755E+04,5.994194E+00,2.367627E+00,1.163206E+05,2.265713E+04,3.933302E+00,1.597132E+00,1.759331E+05,3.133082E+04,5.949066E+00,2.208545E+00,1.181685E+05,2.862745E+04,3.995785E+00,2.017992E+00,2.469878E+04,3.347919E+03,8.351727E-01,2.359987E-01,1.607094E+04,2.259031E+03,5.434270E-01,1.592420E-01,2.461247E+04,3.149118E+03,8.322541E-01,2.219848E-01,1.632455E+04,2.825281E+03,5.520025E-01,1.991581E-01
00:17:00,1.054904E+04,1.473763E+04,3.567285E-01,1.038822E+00,1.006779E+04,3.132690E+04,3.404543E-01,2.208163E+00,1.136576E+05,3.432426E+05,3.843465E+00,2.419440E+01,6.277751E+04,3.495036E+04,2.122896E+00,2.463572E+00,1.572241E+04,3.196648E+03,5.316436E-01,2.253353E-01,1.047363E+04,2.165844E+03,3.541589E-01,1.526731E-01,1.548276E+04,2.934171E+03,5.235401E-01,2.068327E-01,1.045529E+04,2.656757E+03,3.535387E-01,1.872786E-01,1.772686E+05,3.361248E+04,5.994225E+00,2.369384E+00,1.163212E+05,2.267165E+04,3.933322E+00,1.598155E+00,1.759340E+05,3.135911E+04,5.949096E+00,2.210539E+00,1.181691E+05,2.862622E+04,3.995805E+00,2.017905E+00,2.469985E+04,3.348351E+03,8.352087E-01,2.360291E-01,1.607163E+04,2.259146E+03,5.434503E-01,1.592501E-01,2.461354E+04,3.149921E+03,8.322903E-01,2.220414E-01,1.632523E+04,2.823763E+03,5.520257E-01,1.990511E-01
00:18:00,1.054911E+04,1.475955E+04,3.567308E-01,1.040367E+00,1.006836E+04,3.136070E+04,3.404735E-01,2.210545E+00,1.136643E+05,3.437507E+05,3.843695E+00,2.423021E+01,6.278639E+04,3.498476E+04,2.123196E+00,2.465997E+00,1.572249E+04,3.197773E+03,5.316463E-01,2.254145E-01,1.047368E+04,2.166347E+03,3.541606E-01,1.527085E-01,1.548284E+04,2.935617E+03,5.235428E-01,2.069346E-01,1.045534E+04,2.656472E+03,3.535405E-01,1.872585E-01,1.772695E+05,3.363698E+04,5.994256E+00,2.371111E+00,1.163218E+05,2.268587E+04,3.933342E+00,1.599157E+00,1.759349E+05,3.138697E+04,5.949127E+00,2.212503E+00,1.181697E+05,2.862472E+04,3.995825E+00,2.017799E+00,2.470091E+04,3.348738E+03,8.352446E-01,2.360564E-01,1.607231E+04,2.259232E+03,5.434735E-01,1.592561E-01,2.461461E+04,3.150680E+03,8.323263E-01,2.220948E-01,1.632592E+04,2.822219E+03,5.520489E-01,1.989422E-01
00:19:00,1.054919E+04,1.478133E+04,3.567332E-01,1.041902E+00,1.006893E+04,3.139432E+04,3.404927E-01,2.212915E+00,1.136711E+05,3.442563E+05,3.843924E+00,2.426585E+01,6.279524E+04,3.501890E+04,2.123496E+00,2.468403E+00,1.572257E+04,3.198862E+03,5.316490E-01,2.254913E-01,1.047374E+04,2.166826E+03,3.541623E-01,1.527423E-01,1.548292E+04,2.937029E+03,5.235455E-01,2.070342E-01,1.045540E+04,2.656162E+03,3.535422E-01,1.872366E-01,1.772704E+05,3.366105E+04,5.994287E+00,2.372808E+00,1.163224E+05,2.269981E+04,3.933362E+00,1.600140E+00,1.759358E+05,3.141442E+04,5.949158E+00,2.214439E+00,1.181702E+05,2.862297E+04,3.995845E+00,2.017676E+00,2.470197E+04,3.349083E+03,8.352803E-01,2.360806E-01,1.607300E+04,2.259289E+03,5.434966E-01,1.592602E-01,2.461567E+04,3.151396E+03,8.323621E-01,2.221453E-01,1.632660E+04,2.820649E+03,5.520720E-01,1.988316E-01
00:20:00,1.054926E+04,1.480296E+04,3.567356E-01,1.043427E+00,1.006949E+04,3.142776E+04,3.405119E-01,2.215272E+00,1.136779E+05,3.447596E+05,3.844153E+00,2.430132E+01,6.280407E+04,3.505277E+04,2.123794E+00,2.470790E+00,1.572265E+04,3.199918E+03,5.316517E-01,2.255658E-01,1.047379E+04,2.167283E+03,3.541641E-01,1.527745E-01,1.548300E+04,2.938408E+03,5.235483E-01,2.071314E-01,1.045545E+04,2.655829E+03,3.535439E-01,1.872132E-01,1.772713E+05,3.368472E+04,5.994317E+00,2.374477E+00,1.163230E+05,2.271348E+04,3.933382E+00,1.601104E+00,1.759367E+05,3.144148E+04,5.949189E+00,2.216346E+00,1.181708E+05,2.862098E+04,3.995865E+00,2.017535E+00,2.470302E+04,3.349385E+03,8.353160E-01,2.361020E-01,1.607368E+04,2.259318E+03,5.435196E-01,1.592622E-01,2.461672E+04,3.152071E+03,8.323979E-01,2.221929E-01,1.632728E+04,2.819056E+03,5.520950E-01,1.987192E-01
